IN_LEN,STR_TYPE,TRIES,ALPHABET_SIZE,ALG,NALG
3,1,1,2,4000,0
5,1,1,2,3000,1000
8,1,1,2,2000,1000
13,1,1,2,3000,1000
21,1,1,2,10000,2000
34,1,1,2,8000,2000
55,1,1,2,7000,5000
89,1,1,2,12000,10000
144,1,1,2,17000,24000
233,1,1,2,23000,48000
377,1,1,2,27000,123000
610,1,1,2,45000,443000
987,1,1,2,54000,1196000
1597,1,1,2,82000,2394000
2584,1,1,2,131000,7779000
4181,1,1,2,202000,19671000
6765,1,1,2,313000,53502000
10946,1,1,2,571000,149152000
17711,1,1,2,833000,382096000
28657,1,1,2,1665000,1119193000
46368,1,1,2,2369000,3113771000
75025,1,1,2,4549000,8242673999
121393,1,1,2,6549000,22142346000
196418,1,1,2,12399000,61461992000
121393,1,1,2,7638000,0
196418,1,1,2,10157000,0
317811,1,1,2,14917000,0
514229,1,1,2,27112000,0
832040,1,1,2,43520000,0
1346269,1,1,2,77301000,0
2178309,1,1,2,142318000,0
3524578,1,1,2,270726000,0
5702887,1,1,2,543190000,0
9227465,1,1,2,1068122000,0
